Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-0.000367571,874909,1.05774
1,1,1,-2.22221e-05,1434586,1.28563
2,1,1,-0.000149627,135411,0.0942686
3,1,1,-0.000100666,1712665,1.53806
4,1,1,-0.000275469,383956,0.363151
5,1,1,-1.54569e-05,2840045,2.30719
6,1,1,-8.7216e-06,537772,0.502542
7,1,1,-6.84753e-05,2709756,2.5703
8,1,1,-0.000226487,2878639,2.44183
9,0,0.743248,0.000382434,3396000,3.00049
10,0,0.74171,0.000295053,3385000,3.00032
11,1,1,-0.00023358,1532423,1.39858
12,1,1,-2.62752e-05,1247386,1.08446
13,1,1,-5.02996e-05,165007,0.123704
14,1,1,-0.000412944,1874259,1.76644
15,1,1,-1.50099e-05,497832,0.413377
16,0,0.737045,2.65941e-05,3224000,3.00087
17,1,1,-8.24824e-05,424939,0.442106
18,1,1,-0.000341465,97326,0.0765937
19,1,1,-0.000392248,1183800,1.04646
20,1,1,-2.07915e-05,174563,0.225769
21,1,1,-0.000205685,380437,0.380307
22,1,1,-0.000281264,1988189,1.94543
23,0,0.728545,0.000542234,2934000,3.0008
24,1,1,-7.44357e-05,1803257,1.98513
25,1,1,-0.000155725,649702,0.80959
26,0,0.723497,3.80382e-05,2719000,3.00018
27,1,1,-0.00038528,910208,0.951447
28,0,0.728844,9.21593e-05,2797000,3.00052
29,1,1,-0.000164141,328816,0.372428
30,0,0.715968,0.000681053,2571000,3.0008
31,1,1,-0.000513424,701086,0.964305
32,1,1,-0.000221242,2532944,2.74764
33,1,1,-0.000292313,851305,0.897731
34,0,0.636888,2.58789e-05,2477000,3.0008
35,0,0.596724,0.000687729,2460000,3.00079
36,1,1,-0.000142802,594809,0.740999
37,0,0.519647,0.000931973,2275000,3.00022
38,0,0.524431,6.49795e-05,2763000,3.00112
39,1,1,-0.000519861,2202040,2.86362
40,0,0.4863,0.000465761,2641000,3.00066
41,0,0.471,0.000101555,2137000,3.01435
42,0,0.488939,0.000566493,2196000,3.00028
43,1,1,-0.000534882,327432,0.332986
44,0,0.517629,8.36954e-05,2341000,3.001
45,0,0.53233,0.000226031,2495000,3.0004
46,0,0.540812,0.000201898,2451000,3.00065
47,0,0.547659,0.000451624,2893000,3.00088
48,1,1,-8.54682e-05,197862,0.233985
49,1,1,-0.000559677,1374110,1.88815
50,1,1,-0.000248541,1093800,1.30717
51,0,0.551043,0.000498663,2398000,3.00021
52,0,0.558735,0.000422906,2375000,3.00063
53,1,1,-6.47893e-05,1634910,2.20219
54,0,0.645909,0.000168666,2386000,3.00433
55,1,1,-0.000141253,556971,0.870157
56,1,1,-0.000325908,910295,1.08504
57,0,0.732459,3.08857e-05,2544000,3.00024
58,0,0.712238,0.000104438,2183000,3.0006
59,1,1,-2.01359e-05,887729,1.19671
60,1,1,-0.000102889,790508,1.01266
61,1,1,-7.9961e-06,1932800,1.91887
62,0,0.725599,0.000392306,2761000,3.00051
63,1,1,-0.00019436,1074429,1.13624
64,1,1,-9.91717e-05,1498190,1.68756
65,1,1,-7.63431e-05,2400629,2.76018
66,0,0.727315,2.62365e-05,2819000,3.00035
67,1,1,-0.000714029,510630,0.73127
68,1,1,-3.38699e-06,1276077,1.36668
69,0,0.732317,0.000215243,3024000,3.00058
70,0,0.730184,8.18477e-05,3042000,3.00027
71,1,1,-0.000201513,524373,0.483414
72,1,1,-0.000226534,1496167,1.52826
73,0,0.70277,0.000136446,2473000,3.00016
74,1,1,-6.16207e-05,214835,0.255383
75,0,0.709111,0.000361155,2592000,3.00012
76,1,1,-2.53215e-05,1307647,1.3478
77,0,0.729129,0.000596407,2999000,3.00063
78,1,1,-0.000604232,345144,0.453407
79,1,1,-0.000199963,314809,0.281022
80,0,0.746104,0.000211667,3108000,3.00026
81,0,0.762745,0.000533979,3561000,3.00116
82,0,0.744007,8.15869e-05,2634000,3.00049
83,1,1,-3.40685e-05,1138823,1.30519
84,1,1,-5.7359e-05,2524006,2.17247
85,1,1,-0.000166666,156617,0.204028
86,1,1,-0.000195061,429188,0.43113
87,1,1,-0.000147127,502867,0.686149
88,1,1,-3.1729e-05,51204,0.0487191
89,1,1,-0.000314989,128201,0.102991
90,1,1,-2.22286e-05,976035,0.836991
91,1,1,-0.000192628,572094,0.774048
92,1,1,-0.000151993,140668,0.107691
93,1,1,-0.000230063,676323,0.714232
94,1,1,-0.000226472,773934,0.833193
95,1,1,-0.000160229,1425810,1.68485
96,1,1,-0.000194304,1198038,1.25987
