Step,Consistent,Confidence,Minimum,Iterations,Time
33,0,0.892287,0.000676781,5367000,2.00024
34,0,0.8869,0.00172727,5462000,2.00027
35,0,0.888615,0.00254583,5466000,2.00014
36,0,0.891342,0.00143258,5435000,2.00016
37,0,0.89726,0.0131258,5426000,2.00016
38,0,0.903488,0.00930893,5418000,2.00013
39,0,0.911748,0.0192146,5444000,2.00003
40,0,0.915461,0.00991181,5452000,2.00029
41,0,0.916989,0.00900252,5413000,2.00028
42,0,0.917045,0.0134291,5443000,2.00001
43,1,1,-0.000985324,158009,0.0616513
44,0,0.917055,0.00842735,5418000,2.00002
45,0,0.916573,0.00922291,5449000,2.00018
46,0,0.916597,0.00283809,5468000,2.00021
47,0,0.917636,0.0104129,5436000,2.00042
48,0,0.919834,0.00878859,5512000,2.00007
49,0,0.919205,0.00910158,5438000,2.00026
50,0,0.916569,0.00518645,5450000,2.00023
51,0,0.916415,0.00727117,5485000,2.0002
52,0,0.916476,0.00385235,5439000,2.00029
53,0,0.91478,0.00829045,5425000,2.00015
54,0,0.915096,0.0111222,5445000,2.00035
55,0,0.914384,0.00643948,5446000,2.00016
56,0,0.915199,0.00408738,5513000,2.00016
57,0,0.913814,0.00486441,5456000,2.00005
58,0,0.914175,0.0104458,5463000,2.00024
59,0,0.916996,0.00905794,5454000,2.00011
60,0,0.919325,0.00786573,5490000,2.00006
61,0,0.91982,0.00664,5474000,2.00034
62,0,0.917861,0.00354721,5448000,2.00026
63,0,0.917136,0.00611291,5477000,2.00022
64,0,0.91471,0.00726208,5375000,2.00031
65,0,0.914617,0.00617053,5503000,2.00001
66,0,0.914379,0.00292112,5490000,2.00002
67,0,0.913561,0.00566225,5470000,2.00029
68,0,0.913077,0.00393498,5468000,2.00014
69,1,1,-0.00172772,1631360,0.604547
70,0,0.909006,0.00569684,5483000,2.00026
71,0,0.9102,0.00804485,5484000,2.00016
72,0,0.909451,0.000944011,5448000,2.00026
73,0,0.908994,0.00209222,5441000,2.00015
74,0,0.908687,0.00311972,5482000,2.0003
75,0,0.90845,0.00427489,5450000,2.00011
