Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-4.02227e-05,777115,0.749798
1,0,0.73667,0.000254761,3193000,3.00017
2,1,1,-0.000340868,622328,0.608365
3,0,0.736028,3.92303e-05,3211000,3.00031
4,0,0.734715,0.000201951,3141000,3.00063
5,1,1,-0.000225712,363916,0.352605
6,1,1,-0.000246872,566262,0.729798
7,0,0.705659,8.54835e-05,2447000,3.0009
8,1,1,-0.000319649,69230,0.0968616
9,1,1,-0.000431766,766128,0.599847
10,0,0.713972,0.000269781,2608000,3.00035
11,0,0.730486,0.000282894,2992000,3.00016
12,1,1,-0.000118126,101424,0.127234
13,1,1,-0.000231732,1617002,2.04579
14,1,1,-0.000176598,1990119,1.90837
15,1,1,-9.8516e-05,367377,0.364169
16,1,1,-0.00014459,2730380,2.88788
17,0,0.727707,6.3251e-05,2893000,3.00025
18,0,0.725013,0.000333796,2889000,3.00059
19,1,1,-0.000119135,457827,0.810604
20,1,1,-2.3891e-05,103085,0.0844363
21,1,1,-0.000238743,2770066,2.9358
22,1,1,-0.000528504,801244,0.682756
23,0,0.719928,0.00063331,2717000,3.00044
24,0,0.713611,0.000266503,2566000,3.00028
25,0,0.734285,0.000182332,2990000,3.00015
26,1,1,-9.20191e-05,36923,0.0509354
27,1,1,-0.000549842,153129,0.185955
28,1,1,-3.24722e-05,364220,0.461331
29,1,1,-0.000101973,315488,0.414432
30,0,0.720082,0.000664364,2690000,3.0008
31,1,1,-0.000415374,1324999,1.2257
32,1,1,-0.0002849,483513,0.480645
33,1,1,-0.000239,1729394,2.1687
34,1,1,-0.00022458,1171775,1.36745
35,0,0.737481,1.4852e-05,3090000,3.00048
36,0,0.732452,0.000174235,2963000,3.0007
37,1,1,-0.000200619,1852438,2.23627
38,1,1,-3.63623e-05,142362,0.14255
39,1,1,-0.000182499,610025,0.624645
40,1,1,-0.000141372,1814673,1.74705
41,0,0.733289,0.000305723,3002000,3.00024
42,0,0.717681,0.000438105,2601000,3.00015
43,1,1,-0.000124742,610315,0.707667
44,1,1,-0.000469257,1904125,1.98023
45,1,1,-4.92826e-05,1399943,1.42945
46,1,1,-0.000162114,79773,0.0879172
47,1,1,-0.000504493,108837,0.114526
48,1,1,-0.000755657,2558239,2.37741
49,1,1,-1.09568e-05,824550,0.788508
50,1,1,-0.000392367,961998,0.939595
51,1,1,-0.000216652,1431931,1.49345
52,0,0.735666,9.68084e-05,3097000,3.00026
53,1,1,-0.000121941,1520689,1.54661
54,0,0.733777,6.76617e-05,3042000,3.00042
55,0,0.724632,0.000202368,2827000,3.00005
56,1,1,-3.99842e-05,1977474,2.39847
57,0,0.742797,0.000160049,3334000,3.0001
58,1,1,-0.000117828,1716004,1.79577
59,1,1,-0.000270475,777374,0.855125
60,0,0.729056,0.000574329,2972000,3.0008
61,0,0.727314,0.000568698,2938000,3.00086
62,1,1,-0.000243653,1109708,1.00555
63,0,0.730083,5.06353e-05,3032000,3.00048
64,0,0.732159,0.000655125,3049000,3.00023
65,0,0.726447,0.000635038,2956000,3.0001
66,0,0.718331,0.000134717,2772000,3.00017
67,1,1,-0.000512768,418806,0.532689
68,1,1,-0.000515391,192953,0.206567
69,1,1,-0.000663724,729530,0.673549
70,1,1,-0.000346412,772590,0.867248
71,1,1,-0.000262697,549442,0.483151
72,1,1,-0.000699794,1617386,2.03543
73,1,1,-0.000219666,71925,0.102256
74,1,1,-0.000351955,215084,0.251216
75,1,1,-0.000103109,133115,0.197318
76,1,1,-0.000468815,592246,0.652763
77,1,1,-0.00032693,3108437,2.58213
78,1,1,-0.000112225,421737,0.359837
79,1,1,-0.000110795,1081449,0.951067
80,1,1,-0.000114013,2847007,2.71109
81,0,0.734749,5.67839e-05,3149000,3.00037
82,1,1,-2.46956e-05,1285884,1.07792
83,1,1,-0.000106682,198801,0.166811
84,1,1,-0.000212778,1992366,2.29766
85,1,1,-0.000582536,219305,0.246632
86,1,1,-0.00024717,1765624,1.66933
87,1,1,-0.000344087,237289,0.211861
88,1,1,-0.000139762,1486893,1.21005
89,1,1,-0.000215267,47542,0.033615
90,1,1,-0.000232386,277488,0.312831
91,1,1,-0.000638877,289996,0.418722
92,1,1,-0.000523691,59550,0.0839004
93,1,1,-2.12237e-05,608765,0.626238
94,1,1,-0.000814785,246647,0.210844
95,1,1,-1.11356e-05,183068,0.147217
96,1,1,-4.74199e-05,3034060,2.893
97,1,1,-0.00045218,1339976,1.29699
98,1,1,-0.000216801,1795974,1.47904
99,1,1,-0.000206043,1080243,1.03811
100,1,1,-7.36311e-05,894845,0.846781
101,1,1,-0.000184358,1349787,1.49001
102,1,1,-8.66845e-05,1715467,1.36847
103,1,1,-3.32191e-05,102456,0.105223
104,1,1,-0.000232924,33378,0.0477467
