Step,Consistent,Confidence,Minimum,Iterations,Time
33,0,0.891812,0.0110215,5271000,2.0001
34,1,1,-0.000565022,258745,0.101394
35,1,1,-0.00347245,33875,0.0142141
36,1,1,-0.00217605,296482,0.113274
37,0,0.875155,0.000880986,5344000,2.00017
38,0,0.878206,0.00397667,5291000,2.00023
39,1,1,-0.000591487,2568804,0.968331
40,0,0.885731,0.00229084,5305000,2.00014
41,0,0.888579,0.00404623,5253000,2.00029
42,0,0.893153,0.0054754,5239000,2.00032
43,0,0.896754,0.00298995,5348000,2.00036
44,1,1,-0.000754744,1203017,0.450226
45,0,0.901536,0.00183344,5355000,2.00033
46,0,0.900927,0.00604755,5310000,2.00018
47,0,0.902993,0.0113949,5301000,2.00007
48,1,1,-0.00205311,2786987,1.04934
49,0,0.903422,0.000607431,5297000,2.00013
50,1,1,-0.00203222,450079,0.170614
51,0,0.903176,0.00314271,5350000,2.00003
52,1,1,-0.0011507,242296,0.093848
53,0,0.902219,0.00228572,5310000,2.0003
54,1,1,-0.000387192,903710,0.342978
55,0,0.900397,0.00146499,5309000,2.00009
56,1,1,-0.00103061,401328,0.152531
57,0,0.901019,0.00385423,5354000,2.0001
58,1,1,-0.00224262,381397,0.144183
59,0,0.900025,0.00278631,5385000,2.00031
60,1,1,-0.00173546,4484423,1.67177
61,0,0.901259,0.00380503,5361000,2.00006
62,1,1,-0.00255281,393058,0.147525
63,1,1,-0.000205219,1002068,0.371085
64,0,0.894868,0.00169015,5264000,2.00031
65,0,0.893817,0.00211895,5313000,2.00007
66,0,0.895476,4.96358e-05,5403000,2.0003
67,0,0.897107,0.000234723,5350000,2.00032
68,0,0.896632,0.00151256,5394000,2.00031
69,1,1,-0.00110027,3380687,1.24734
70,0,0.895653,0.000968739,5359000,2.00005
71,0,0.896402,0.00192314,5376000,2.00027
72,0,0.898773,3.08827e-05,5420000,2.0001
